case_name,court,year,section,act,summary,significance
D.K. Basu v. State of West Bengal,Supreme Court of India,1997,41,Code of Criminal Procedure,"The Court addressed custodial torture and deaths. It laid down detailed guidelines including mandatory arrest memo, right to inform family, and medical examination. These safeguards aimed to prevent abuse of police power.","Created binding guidelines to prevent custodial torture."
Hussainara Khatoon v. State of Bihar,Supreme Court of India,1979,167,Code of Criminal Procedure,"The Court took suo motu action on the plight of undertrial prisoners detained for years. It held that speedy trial is a fundamental right under Article 21. Thousands of prisoners were released following this judgment.","Recognized speedy trial as a fundamental right."
Olga Tellis v. Bombay Municipal Corporation,Supreme Court of India,1985,21,Constitution of India,"The case involved eviction of pavement dwellers in Mumbai. The Court held that the right to livelihood is part of the right to life under Article 21. However, it allowed eviction with due process.","Expanded scope of right to life to include livelihood."
MC Mehta v. Union of India,Supreme Court of India,1987,21,Constitution of India,"This environmental law case introduced the principle of absolute liability for industries engaged in hazardous activities. Unlike strict liability, no exceptions were allowed. The ruling came after oleum gas leak incident.","Established absolute liability in environmental law."
Vishaka v. State of Rajasthan,Supreme Court of India,1997,354,Indian Penal Code,"After a brutal assault on a social worker, the Court addressed lack of laws on workplace harassment. It laid down Vishaka Guidelines to prevent sexual harassment. These remained in force until legislation was enacted.","Laid foundation for POSH Act and workplace safety laws."
Arnesh Kumar v. State of Bihar,Supreme Court of India,2014,498A,Indian Penal Code,"The Court observed misuse of Section 498A leading to unnecessary arrests. It directed police to follow strict procedures before arrest and emphasized judicial oversight.","Prevented arbitrary arrests and misuse of dowry laws."
Gian Kaur v. State of Punjab,Supreme Court of India,1996,309,Indian Penal Code,"The Court examined whether right to life includes right to die. It overruled earlier judgment and held that Article 21 does not include right to die. However, it recognized dignity in death.","Clarified limits of right to life."
Lily Thomas v. Union of India,Supreme Court of India,2000,494,Indian Penal Code,"The issue was whether a Hindu husband could convert to Islam to marry again. The Court held such conversion without dissolving first marriage amounts to bigamy.","Prevented misuse of religious conversion for marriage."
Subramanian Swamy v. Union of India,Supreme Court of India,2016,499,Indian Penal Code,"The Court upheld criminal defamation laws, stating reputation is part of right to life under Article 21. It balanced free speech with protection of reputation.","Upheld validity of criminal defamation."
State of UP v. Ram Sagar Yadav,Supreme Court of India,1985,302,Indian Penal Code,"The case dealt with custodial death. The Court held that burden lies on the state to explain injuries caused during custody.","Strengthened accountability in police custody cases."
Minerva Mills v. Union of India,Supreme Court of India,1980,368,Constitution of India,"The case challenged amendments that gave unlimited power to Parliament to amend the Constitution. The Supreme Court held that limited amending power itself is part of the basic structure. It struck down provisions that destroyed the balance between Fundamental Rights and Directive Principles.","Reinforced Basic Structure Doctrine and balance between rights and state goals."
Golaknath v. State of Punjab,Supreme Court of India,1967,368,Constitution of India,"The Court held that Parliament cannot amend Fundamental Rights under Article 368. It treated constitutional amendments as 'law' under Article 13. This judgment was later partially overruled but remains historically important.","Initially restricted Parliament’s power to amend Fundamental Rights."
A.K. Gopalan v. State of Madras,Supreme Court of India,1950,21,Constitution of India,"The Court took a narrow view of personal liberty, holding that each fundamental right is separate. It upheld preventive detention laws without linking Articles 14, 19, and 21. This approach was later rejected in Maneka Gandhi.","Early restrictive interpretation of personal liberty."
ADM Jabalpur v. Shivkant Shukla,Supreme Court of India,1976,21,Constitution of India,"During Emergency, the Court held that habeas corpus could be suspended and citizens could not challenge unlawful detention. This judgment was widely criticized and later overruled.","Considered one of the darkest judgments; later corrected."
R.C. Cooper v. Union of India,Supreme Court of India,1970,31,Constitution of India,"The nationalization of banks was challenged. The Court rejected the earlier doctrine that rights are isolated and held that state action can violate multiple rights simultaneously.","Expanded interpretation of Fundamental Rights."
State of West Bengal v. Anwar Ali Sarkar,Supreme Court of India,1952,14,Constitution of India,"The Court struck down a law allowing arbitrary classification for special courts. It held that equality before law prohibits arbitrary state action.","Strengthened Article 14 against arbitrary laws."
Kharak Singh v. State of UP,Supreme Court of India,1963,21,Constitution of India,"The case involved police surveillance of a suspect. The Court struck down domiciliary visits as violating personal liberty. It also hinted at the concept of privacy.","Early recognition of privacy rights."
Sunil Batra v. Delhi Administration,Supreme Court of India,1978,21,Constitution of India,"The Court addressed inhuman treatment of prisoners. It held that prisoners retain fundamental rights and cannot be subjected to cruel punishment.","Advanced prisoners’ rights jurisprudence."
Sheela Barse v. State of Maharashtra,Supreme Court of India,1983,21,Constitution of India,"The case focused on custodial violence against women. The Court issued guidelines for protection and legal aid for women prisoners.","Improved rights of women in custody."
Bandhua Mukti Morcha v. Union of India,Supreme Court of India,1984,23,Constitution of India,"The Court dealt with bonded labour practices. It expanded the scope of PIL and enforced labour rights under Article 23.","Strengthened protection against forced labour."
PUCL v. Union of India (Phone Tapping),Supreme Court of India,1997,21,Constitution of India,"The Court examined legality of phone tapping. It held that it violates privacy unless done under strict safeguards.","Introduced procedural safeguards for surveillance."
Vineet Narain v. Union of India,Supreme Court of India,1998,7,Prevention of Corruption Act,"The Court addressed political interference in corruption investigations. It laid down guidelines ensuring independence of CBI and vigilance agencies.","Strengthened anti-corruption mechanisms."
T.M.A. Pai Foundation v. State of Karnataka,Supreme Court of India,2002,30,Constitution of India,"The Court clarified rights of private educational institutions. It held that minorities have the right to establish and administer institutions.","Defined education rights under Constitution."
Ashoka Kumar Thakur v. Union of India,Supreme Court of India,2008,15,Constitution of India,"The Court upheld OBC reservations in educational institutions but insisted on excluding creamy layer.","Refined reservation jurisprudence."
I.R. Coelho v. State of Tamil Nadu,Supreme Court of India,2007,368,Constitution of India,"The Court held that laws placed in the Ninth Schedule are subject to judicial review if they violate basic structure.","Limited misuse of Ninth Schedule."
Selvi v. State of Karnataka,Supreme Court of India,2010,20,Constitution of India,"The Court ruled that narco-analysis and polygraph tests without consent violate personal liberty and self-incrimination protections.","Protected mental privacy and dignity."
Nandini Satpathy v. P.L. Dani,Supreme Court of India,1978,20,Constitution of India,"The Court held that an accused has the right to remain silent during police interrogation.","Strengthened protection against self-incrimination."
Joginder Kumar v. State of UP,Supreme Court of India,1994,41,Code of Criminal Procedure,"The Court ruled that arrest must not be routine and must be justified.","Prevented arbitrary arrests."
Nilabati Behera v. State of Orissa,Supreme Court of India,1993,21,Constitution of India,"The Court awarded compensation for custodial death, recognizing state liability.","Introduced compensation for rights violations."
Kartaar Singh v. State of Punjab,Supreme Court of India,1994,21,Constitution of India,"The Court upheld TADA law but imposed safeguards to prevent misuse.","Balanced security and liberty."
PUCL v. Union of India (Voting Rights),Supreme Court of India,2003,19,Constitution of India,"The Court held that voters have the right to know candidates' criminal records.","Promoted electoral transparency."
People’s Union for Civil Liberties v. Union of India (NOTA),Supreme Court of India,2013,19,Constitution of India,"The Court introduced NOTA option in voting.","Enhanced voter choice."
Common Cause v. Union of India,Supreme Court of India,2018,21,Constitution of India,"The Court recognized passive euthanasia and living wills.","Recognized right to die with dignity."
State of Rajasthan v. Union of India,Supreme Court of India,1977,356,Constitution of India,"The Court examined scope of President’s Rule.","Clarified limits of central power."
SR Bommai (Expansion Case),Supreme Court of India,1994,356,Constitution of India,"The Court emphasized secularism as basic structure.","Protected secularism."
M. Nagaraj v. Union of India,Supreme Court of India,2006,16,Constitution of India,"The Court upheld reservation in promotions with conditions.","Balanced equality and affirmative action."
Indian Young Lawyers Association v. State of Kerala (Sabarimala),Supreme Court of India,2018,25,Constitution of India,"The Court allowed entry of women into Sabarimala temple.","Advanced gender equality in religion."
Shafin Jahan v. Asokan K.M.,Supreme Court of India,2018,21,Constitution of India,"The Court upheld right to marry person of choice.","Protected personal autonomy."
Lata Singh v. State of UP,Supreme Court of India,2006,21,Constitution of India,"The Court protected inter-caste marriages.","Promoted individual freedom."
Independent Thought v. Union of India,Supreme Court of India,2017,375,Indian Penal Code,"The Court criminalized marital rape of minor wives.","Protected child rights."
Alakh Alok Srivastava v. Union of India,Supreme Court of India,2020,21,Constitution of India,"The Court addressed migrant workers’ rights during COVID-19.","Recognized crisis governance duties."
Anuradha Bhasin v. Union of India,Supreme Court of India,2020,19,Constitution of India,"The Court held internet access is part of free speech.","Protected digital rights."
Faheema Shirin v. State of Kerala,Kerala High Court,2019,21,Constitution of India,"The Court declared internet access a fundamental right for education.","Expanded digital rights."
Naz Foundation v. Govt of NCT Delhi,Delhi High Court,2009,377,Indian Penal Code,"The Court decriminalized homosexuality (later reversed then upheld).","Early LGBTQ rights case."
Suresh Kumar Koushal v. Naz Foundation,Supreme Court of India,2013,377,Indian Penal Code,"The Court recriminalized homosexuality before being overturned.","Controversial judgment later corrected."
Aruna Shanbaug v. Union of India,Supreme Court of India,2011,21,Constitution of India,"The Court allowed passive euthanasia under strict conditions.","Laid groundwork for euthanasia law."
Prakash Singh v. Union of India,Supreme Court of India,2006,21,Constitution of India,"The Court ordered police reforms.","Improved police accountability."
State of Punjab v. Baldev Singh,Supreme Court of India,1999,50,NDPS Act,"The Court held search must follow due procedure.","Protected accused rights."
Noor Aga v. State of Punjab,Supreme Court of India,2008,50,NDPS Act,"The Court emphasized strict compliance in drug cases.","Strengthened procedural safeguards."
State of Gujarat v. Mirzapur Moti Kureshi Kassab,Supreme Court of India,2005,48,Constitution of India,"The Court upheld ban on cow slaughter.","Balanced religion and economy."
Kedar Nath Singh v. State of Bihar,Supreme Court of India,1962,124A,Indian Penal Code,"The petitioner challenged the constitutionality of the sedition law under Section 124A IPC. The Supreme Court upheld the provision but limited its application only to acts involving incitement to violence or public disorder. Mere criticism of the government was held not to be sedition.","Restricted misuse of sedition law and protected free speech."
Balwant Singh v. State of Punjab,Supreme Court of India,1995,124A,Indian Penal Code,"The accused raised slogans after Indira Gandhi’s assassination. The Court held that casual sloganeering without incitement to violence does not amount to sedition.","Clarified limits of sedition under IPC."
Romesh Thappar v. State of Madras,Supreme Court of India,1950,19,Constitution of India,"The Court struck down a ban on a political journal, holding that freedom of speech includes freedom of circulation. It emphasized that restrictions must be reasonable.","Strengthened freedom of press."
Brij Bhushan v. State of Delhi,Supreme Court of India,1950,19,Constitution of India,"The Court invalidated pre-censorship on newspapers. It held that prior restraint violates freedom of speech.","Protected press freedom."
Sakal Papers v. Union of India,Supreme Court of India,1962,19,Constitution of India,"The Court struck down government regulations on newspaper pricing and pages. It held that such controls restrict freedom of speech.","Protected economic freedom of press."
Bennett Coleman v. Union of India,Supreme Court of India,1973,19,Constitution of India,"The Court invalidated newsprint control policies limiting circulation. It held that freedom of press includes quantity of publication.","Expanded scope of press freedom."
Indian Express Newspapers v. Union of India,Supreme Court of India,1985,19,Constitution of India,"The Court held that press freedom is essential to democracy and cannot be burdened by excessive taxation.","Protected press from indirect restrictions."
LIC v. Manubhai Shah,Supreme Court of India,1992,19,Constitution of India,"The Court held that public bodies must provide space for reply to criticism. It recognized right to reply as part of free speech.","Expanded right to reply."
Secretary. Ministry of I&B v. Cricket Association of Bengal,Supreme Court of India,1995,19,Constitution of India,"The Court held that airwaves are public property and must be regulated in public interest. It recognized broadcasting rights under free speech.","Recognized right to broadcast."
PUCL v. Union of India (Telephone Tapping),Supreme Court of India,1997,21,Constitution of India,"The Court held that telephone tapping violates privacy unless done under strict safeguards.","Protected communication privacy."
State of Madras v. Champakam Dorairajan,Supreme Court of India,1951,15,Constitution of India,"The Court struck down caste-based reservations in educational institutions. It held that Fundamental Rights override Directive Principles.","Led to First Constitutional Amendment."
M.R. Balaji v. State of Mysore,Supreme Court of India,1963,15,Constitution of India,"The Court held that reservations should be reasonable and not exceed 50%.","Introduced cap on reservations."
Indra Sawhney (Mandal Case),Supreme Court of India,1992,16,Constitution of India,"The Court upheld OBC reservations but excluded creamy layer.","Defined reservation policy."
State of Kerala v. N.M. Thomas,Supreme Court of India,1976,16,Constitution of India,"The Court upheld preferential treatment for backward classes.","Expanded equality concept."
Ajay Hasia v. Khalid Mujib,Supreme Court of India,1981,12,Constitution of India,"The Court defined 'State' under Article 12 broadly to include authorities.","Expanded scope of state accountability."
Zee Telefilms v. Union of India,Supreme Court of India,2005,12,Constitution of India,"The Court held BCCI is not 'State' under Article 12.","Limited scope of Article 12."
Pradeep Kumar Biswas v. Indian Institute of Chemical Biology,Supreme Court of India,2002,12,Constitution of India,"The Court refined tests for determining state authority.","Clarified Article 12 scope."
Rajasthan State Electricity Board v. Mohan Lal,Supreme Court of India,1967,12,Constitution of India,"The Court held statutory bodies are 'State'.","Expanded definition of state."
State of Bombay v. Narasu Appa Mali,Bombay High Court,1952,25,Constitution of India,"The Court held personal laws are not subject to fundamental rights.","Controversial judgment."
Bijoe Emmanuel v. State of Kerala,Supreme Court of India,1986,25,Constitution of India,"Students refused to sing national anthem on religious grounds. The Court protected their freedom of conscience.","Protected religious freedom."
Ismail Faruqui v. Union of India,Supreme Court of India,1994,25,Constitution of India,"The Court held that mosque is not essential for Islamic worship.","Important in Ayodhya dispute."
Shirur Mutt Case,Supreme Court of India,1954,26,Constitution of India,"The Court defined scope of religious freedom and essential practices.","Foundation of religious rights law."
S.P. Mittal v. Union of India,Supreme Court of India,1983,26,Constitution of India,"The Court examined religious denomination rights.","Clarified Article 26."
Rev. Stainislaus v. State of MP,Supreme Court of India,1977,25,Constitution of India,"The Court held that right to propagate religion does not include conversion by force.","Limited religious propagation."
Aruna Roy v. Union of India,Supreme Court of India,2002,28,Constitution of India,"The Court upheld value-based education.","Clarified secular education."
Mohini Jain v. State of Karnataka,Supreme Court of India,1992,21,Constitution of India,"The Court held right to education is fundamental.","Led to Article 21A."
Unni Krishnan v. State of Andhra Pradesh,Supreme Court of India,1993,21,Constitution of India,"The Court defined scope of right to education.","Basis for education law."
T.K. Rangarajan v. State of Tamil Nadu,Supreme Court of India,2003,19,Constitution of India,"The Court held government employees have no right to strike.","Restricted labor rights."
Excel Wear v. Union of India,Supreme Court of India,1978,19,Constitution of India,"The Court upheld right to close business.","Protected business freedom."
Sodan Singh v. NDMC,Supreme Court of India,1989,19,Constitution of India,"The Court recognized hawkers’ rights.","Protected informal economy."
State of Gujarat v. Hon’ble High Court,Supreme Court of India,1998,21,Constitution of India,"The Court ensured independence of judiciary.","Strengthened judicial autonomy."
Supreme Court Advocates-on-Record Assn v. Union of India,Supreme Court of India,1993,124,Constitution of India,"The Court established collegium system.","Ensured judicial independence."
NJAC Case,Supreme Court of India,2015,124,Constitution of India,"The Court struck down NJAC as unconstitutional.","Reinforced judicial independence."
Union Carbide v. Union of India,Supreme Court of India,1989,21,Constitution of India,"Bhopal gas tragedy settlement case.","Corporate liability case."
Indian Council for Env-Legal Action v. Union of India,Supreme Court of India,1996,21,Constitution of India,"The Court enforced polluter pays principle.","Strengthened environmental law."
Vellore Citizens Welfare Forum v. Union of India,Supreme Court of India,1996,21,Constitution of India,"The Court introduced precautionary principle.","Key environmental ruling."
Narmada Bachao Andolan v. Union of India,Supreme Court of India,2000,21,Constitution of India,"The Court balanced development and environment.","Major dam case."
Subhash Kumar v. State of Bihar,Supreme Court of India,1991,21,Constitution of India,"The Court recognized right to pollution-free water.","Expanded Article 21."
Kedar Nath Singh v. State of Bihar,Supreme Court of India,1962,124A,Indian Penal Code,"The petitioner challenged the constitutionality of the sedition law under Section 124A IPC. The Supreme Court upheld the provision but limited its application only to acts involving incitement to violence or public disorder. Mere criticism of the government was held not to be sedition.","Restricted misuse of sedition law and protected free speech."
Balwant Singh v. State of Punjab,Supreme Court of India,1995,124A,Indian Penal Code,"The accused raised slogans after Indira Gandhi’s assassination. The Court held that casual sloganeering without incitement to violence does not amount to sedition.","Clarified limits of sedition under IPC."
Romesh Thappar v. State of Madras,Supreme Court of India,1950,19,Constitution of India,"The Court struck down a ban on a political journal, holding that freedom of speech includes freedom of circulation. It emphasized that restrictions must be reasonable.","Strengthened freedom of press."
Brij Bhushan v. State of Delhi,Supreme Court of India,1950,19,Constitution of India,"The Court invalidated pre-censorship on newspapers. It held that prior restraint violates freedom of speech.","Protected press freedom."
Sakal Papers v. Union of India,Supreme Court of India,1962,19,Constitution of India,"The Court struck down government regulations on newspaper pricing and pages. It held that such controls restrict freedom of speech.","Protected economic freedom of press."
Bennett Coleman v. Union of India,Supreme Court of India,1973,19,Constitution of India,"The Court invalidated newsprint control policies limiting circulation. It held that freedom of press includes quantity of publication.","Expanded scope of press freedom."
Indian Express Newspapers v. Union of India,Supreme Court of India,1985,19,Constitution of India,"The Court held that press freedom is essential to democracy and cannot be burdened by excessive taxation.","Protected press from indirect restrictions."
LIC v. Manubhai Shah,Supreme Court of India,1992,19,Constitution of India,"The Court held that public bodies must provide space for reply to criticism. It recognized right to reply as part of free speech.","Expanded right to reply."
Secretary Ministry of I&B v. Cricket Association of Bengal,Supreme Court of India,1995,19,Constitution of India,"The Court held that airwaves are public property and must be regulated in public interest. It recognized broadcasting rights under free speech.","Recognized right to broadcast."
PUCL v. Union of India (Telephone Tapping),Supreme Court of India,1997,21,Constitution of India,"The Court held that telephone tapping violates privacy unless done under strict safeguards.","Protected communication privacy."
State of Madras v. Champakam Dorairajan,Supreme Court of India,1951,15,Constitution of India,"The Court struck down caste-based reservations in educational institutions. It held that Fundamental Rights override Directive Principles.","Led to First Constitutional Amendment."
M.R. Balaji v. State of Mysore,Supreme Court of India,1963,15,Constitution of India,"The Court held that reservations should be reasonable and not exceed 50%.","Introduced cap on reservations."
Indra Sawhney (Mandal Case),Supreme Court of India,1992,16,Constitution of India,"The Court upheld OBC reservations but excluded creamy layer.","Defined reservation policy."
State of Kerala v. N.M. Thomas,Supreme Court of India,1976,16,Constitution of India,"The Court upheld preferential treatment for backward classes.","Expanded equality concept."
Ajay Hasia v. Khalid Mujib,Supreme Court of India,1981,12,Constitution of India,"The Court defined 'State' under Article 12 broadly to include authorities.","Expanded scope of state accountability."
Zee Telefilms v. Union of India,Supreme Court of India,2005,12,Constitution of India,"The Court held BCCI is not 'State' under Article 12.","Limited scope of Article 12."
Pradeep Kumar Biswas v. Indian Institute of Chemical Biology,Supreme Court of India,2002,12,Constitution of India,"The Court refined tests for determining state authority.","Clarified Article 12 scope."
Rajasthan State Electricity Board v. Mohan Lal,Supreme Court of India,1967,12,Constitution of India,"The Court held statutory bodies are 'State'.","Expanded definition of state."
State of Bombay v. Narasu Appa Mali,Bombay High Court,1952,25,Constitution of India,"The Court held personal laws are not subject to fundamental rights.","Controversial judgment."
Bijoe Emmanuel v. State of Kerala,Supreme Court of India,1986,25,Constitution of India,"Students refused to sing national anthem on religious grounds. The Court protected their freedom of conscience.","Protected religious freedom."
Ismail Faruqui v. Union of India,Supreme Court of India,1994,25,Constitution of India,"The Court held that mosque is not essential for Islamic worship.","Important in Ayodhya dispute."
Shirur Mutt Case,Supreme Court of India,1954,26,Constitution of India,"The Court defined scope of religious freedom and essential practices.","Foundation of religious rights law."
S.P. Mittal v. Union of India,Supreme Court of India,1983,26,Constitution of India,"The Court examined religious denomination rights.","Clarified Article 26."
Rev. Stainislaus v. State of MP,Supreme Court of India,1977,25,Constitution of India,"The Court held that right to propagate religion does not include conversion by force.","Limited religious propagation."
Aruna Roy v. Union of India,Supreme Court of India,2002,28,Constitution of India,"The Court upheld value-based education.","Clarified secular education."
Mohini Jain v. State of Karnataka,Supreme Court of India,1992,21,Constitution of India,"The Court held right to education is fundamental.","Led to Article 21A."
Unni Krishnan v. State of Andhra Pradesh,Supreme Court of India,1993,21,Constitution of India,"The Court defined scope of right to education.","Basis for education law."
T.K. Rangarajan v. State of Tamil Nadu,Supreme Court of India,2003,19,Constitution of India,"The Court held government employees have no right to strike.","Restricted labor rights."
Excel Wear v. Union of India,Supreme Court of India,1978,19,Constitution of India,"The Court upheld right to close business.","Protected business freedom."
Sodan Singh v. NDMC,Supreme Court of India,1989,19,Constitution of India,"The Court recognized hawkers’ rights.","Protected informal economy."
State of Gujarat v. Hon’ble High Court,Supreme Court of India,1998,21,Constitution of India,"The Court ensured independence of judiciary.","Strengthened judicial autonomy."
Supreme Court Advocates-on-Record Assn v. Union of India,Supreme Court of India,1993,124,Constitution of India,"The Court established collegium system.","Ensured judicial independence."
NJAC Case,Supreme Court of India,2015,124,Constitution of India,"The Court struck down NJAC as unconstitutional.","Reinforced judicial independence."
Union Carbide v. Union of India,Supreme Court of India,1989,21,Constitution of India,"Bhopal gas tragedy settlement case.","Corporate liability case."
Indian Council for Env-Legal Action v. Union of India,Supreme Court of India,1996,21,Constitution of India,"The Court enforced polluter pays principle.","Strengthened environmental law."
Vellore Citizens Welfare Forum v. Union of India,Supreme Court of India,1996,21,Constitution of India,"The Court introduced precautionary principle.","Key environmental ruling."
Narmada Bachao Andolan v. Union of India,Supreme Court of India,2000,21,Constitution of India,"The Court balanced development and environment.","Major dam case."
Subhash Kumar v. State of Bihar,Supreme Court of India,1991,21,Constitution of India,"The Court recognized right to pollution-free water.","Expanded Article 21."
